Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End),rolling_mean_Commercial Paper (Amount Outstanding) (in Crore),rolling_mean_Direct Investment to India (US $ Million),rolling_mean_Foreign Direct Investment By India (US $ Million),rolling_mean_Net Portfolio Investment (US $ Million),rolling_mean_Total Investment Inflows (US $ Million),rolling_mean_External Commercial Borrowings Registrations (US $ Million),Consumer Price Index  (2012=100)_lag_1,Consumer Price Index  (2012=100)_lag_2,Consumer Price Index  (2012=100)_lag_3,Consumer Price Index  (2012=100)_lag_4,Consumer Price Index  (2012=100)_lag_5,Consumer Price Index  (2012=100)_lag_6,Consumer Price Index for Agricultural Labourer_lag_1,Consumer Price Index for Agricultural Labourer_lag_2,Consumer Price Index for Agricultural Labourer_lag_3,Consumer Price Index for Agricultural Labourer_lag_4,Consumer Price Index for Agricultural Labourer_lag_5,Consumer Price Index for Agricultural Labourer_lag_6,Consumer Price Index for Rural Labourer_lag_1,Consumer Price Index for Rural Labourer_lag_2,Consumer Price Index for Rural Labourer_lag_3,Consumer Price Index for Rural Labourer_lag_4,Consumer Price Index for Rural Labourer_lag_5,Consumer Price Index for Rural Labourer_lag_6,Consumer Price Index for Food and Beverages_lag_1,Consumer Price Index for Food and Beverages_lag_2,Consumer Price Index for Food and Beverages_lag_3,Consumer Price Index for Food and Beverages_lag_4,Consumer Price Index for Food and Beverages_lag_5,Consumer Price Index for Food and Beverages_lag_6
2018-11-01,140.8,126.1,121.6,914.0,921.0,139.7,1076.61,20433.31,26071.56,43655.19,-17583.62,39183.65,69.66,578026.56,3194.208333333334,985.6016666666666,-741.045,1467.5600000000002,2483.1666666666665,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,137.79999999999998,137.13333333333333,910.0,906.3333333333334,901.0,895.6666666666666,891.0,888.6666666666666,917.3333333333334,914.0,909.0,903.6666666666666,899.0,896.3333333333334,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333,138.33333333333334,137.6
2018-12-01,140.1,133.9,119.7,913.0,921.0,138.2,3112.49,20839.86,27858.29,42351.02,-14492.73,43896.48,69.79,579175.8250000001,3397.713333333333,944.4466666666667,-318.08500000000004,2135.1783333333337,2665.1666666666665,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,137.79999999999998,912.3333333333334,910.0,906.3333333333334,901.0,895.6666666666666,891.0,919.3333333333334,917.3333333333334,914.0,909.0,903.6666666666666,899.0,140.0,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333,138.33333333333334
2019-01-01,139.6,134.4,119.2,915.0,923.0,137.4,3681.52,21413.04,26407.36,41455.21,-15047.85,61131.15,71.03,560711.0816666667,3604.5783333333334,839.1416666666668,-1183.6200000000001,1581.8116666666665,2705.5,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,138.70000000000002,913.3333333333334,912.3333333333334,910.0,906.3333333333334,901.0,895.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,909.0,903.6666666666666,139.26666666666665,140.0,140.66666666666666,141.16666666666666,140.83333333333334,139.63333333333333
2019-02-01,139.9,127.6,119.5,917.0,925.0,137.5,1949.2,21623.3,26862.08,36591.13,-9729.05,67735.0,71.2,542130.255,3597.8283333333334,838.6816666666667,-516.0933333333332,2243.048333333333,2369.6666666666665,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,139.5666666666667,914.0,913.3333333333334,912.3333333333334,910.0,906.3333333333334,901.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,909.0,138.43333333333334,139.26666666666665,140.0,140.66666666666666,141.16666666666666,140.83333333333334
2019-03-01,140.4,144.1,119.9,924.0,932.0,138.1,789.18,23170.18,32725.19,43690.44,-10965.26,62298.26,69.17,529944.6366666666,3359.2383333333332,1071.0433333333333,1220.875,3509.063333333333,4206.166666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,140.13333333333335,915.0,914.0,913.3333333333334,912.3333333333334,910.0,906.3333333333334,923.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,914.0,137.70000000000002,138.43333333333334,139.26666666666665,140.0,140.66666666666666,141.16666666666666
2019-04-01,141.2,126.5,121.1,932.0,939.0,139.4,4385.56,24579.71,26037.65,42387.26,-16349.6,29572.0,69.84,522477.4933333334,3525.23,1026.1366666666665,2032.3100000000002,4531.400000000001,4497.333333333333,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,140.43333333333334,918.6666666666666,915.0,914.0,913.3333333333334,912.3333333333334,910.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,919.3333333333334,917.3333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665,140.0,140.66666666666666
2019-05-01,142.0,135.4,121.6,940.0,948.0,140.9,2818.36,24318.28,29849.71,46683.35,-16833.65,22100.0,69.81,521039.1083333334,3941.691666666666,1152.3083333333332,1839.8149999999998,4629.196666666666,4744.333333333333,140.5,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,140.56666666666666,924.3333333333334,918.6666666666666,915.0,914.0,913.3333333333334,912.3333333333334,932.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,919.3333333333334,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665,140.0
2019-06-01,144.1,129.3,121.5,950.0,957.0,142.7,6788.6,24363.94,25027.35,41032.49,-16005.15,29851.0,68.92,521908.2166666666,4497.346666666666,1095.28,2379.7633333333333,5781.829999999999,5009.833333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,140.16666666666666,140.53333333333333,932.0,924.3333333333334,918.6666666666666,915.0,914.0,913.3333333333334,939.6666666666666,932.0,926.6666666666666,923.0,921.6666666666666,920.6666666666666,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334,139.26666666666665
2019-07-01,144.2,131.8,121.3,958.0,965.0,144.7,3482.41,23974.87,26231.64,40430.65,-14199.01,50606.4,68.86,518686.8166666667,4603.098333333333,1234.2166666666665,2516.2233333333334,5885.106666666667,5437.166666666667,142.4333333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,140.16666666666666,940.6666666666666,932.0,924.3333333333334,918.6666666666666,915.0,914.0,948.0,939.6666666666666,932.0,926.6666666666666,923.0,921.6666666666666,141.0,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002,138.43333333333334
2019-08-01,145.0,126.2,121.5,965.0,972.0,145.9,1850.74,23895.34,25987.94,39852.08,-13864.15,44553.0,71.76,514747.7666666666,4646.186666666667,1293.715,2259.9249999999997,5612.3983333333335,5521.333333333333,143.4333333333333,142.4333333333333,141.20000000000002,140.5,139.96666666666667,139.86666666666667,949.3333333333334,940.6666666666666,932.0,924.3333333333334,918.6666666666666,915.0,956.6666666666666,948.0,939.6666666666666,932.0,926.6666666666666,923.0,142.76666666666665,141.0,139.46666666666667,138.33333333333334,137.66666666666666,137.70000000000002
2019-09-01,145.8,122.9,121.3,976.0,983.0,147.0,1981.31,24499.88,26013.73,37694.82,-11681.09,48763.0,70.69,510857.375,4597.871666666667,1046.7116666666666,1219.855,4771.018333333333,4215.333333333333,144.4333333333333,143.4333333333333,142.4333333333333,141.20000000000002,140.5,139.96666666666667,957.6666666666666,949.3333333333334,940.6666666666666,932.0,924.3333333333334,918.6666666666666,964.6666666666666,956.6666666666666,948.0,939.6666666666666,932.0,926.6666666666666,144.43333333333334,142.76666666666665,141.0,139.46666666666667,138.33333333333334,137.66666666666666
2019-10-01,147.2,124.0,122.0,987.0,993.0,149.6,2646.2,24710.1,26212.39,37986.37,-11773.98,60160.76,70.81,497427.86666666664,4351.846666666667,1090.5783333333331,1464.6966666666667,4725.965,4258.166666666667,145.0,144.4333333333333,143.4333333333333,142.4333333333333,141.20000000000002,140.5,966.3333333333334,957.6666666666666,949.3333333333334,940.6666666666666,932.0,924.3333333333334,973.3333333333334,964.6666666666666,956.6666666666666,948.0,939.6666666666666,932.0,145.86666666666667,144.43333333333334,142.76666666666665,141.0,139.46666666666667,138.33333333333334
2019-11-01,148.6,128.8,122.3,1000.0,1006.0,151.9,2770.46,24325.73,25744.49,38523.24,-12778.75,46020.85,71.73,481833.2166666666,4280.836666666667,1027.55,2135.4500000000003,5388.735000000001,4019.5,146.0,145.0,144.4333333333333,143.4333333333333,142.4333333333333,141.20000000000002,976.0,966.3333333333334,957.6666666666666,949.3333333333334,940.6666666666666,932.0,982.6666666666666,973.3333333333334,964.6666666666666,956.6666666666666,948.0,939.6666666666666,147.5,145.86666666666667,144.43333333333334,142.76666666666665,141.0,139.46666666666667
2019-12-01,150.4,134.5,123.0,1014.0,1019.0,155.0,4326.41,24017.92,27096.05,39594.1,-12498.05,47477.47,71.27,466993.7166666666,3937.758333333333,1094.8349999999998,1717.591666666667,4560.513333333333,3469.1666666666665,147.20000000000002,146.0,145.0,144.4333333333333,143.4333333333333,142.4333333333333,987.6666666666666,976.0,966.3333333333334,957.6666666666666,949.3333333333334,940.6666666666666,994.0,982.6666666666666,973.3333333333334,964.6666666666666,956.6666666666666,948.0,149.5,147.5,145.86666666666667,144.43333333333334,142.76666666666665,141.0
2020-01-01,150.2,128.58333333333331,123.4,1016.0,1021.0,153.5,5251.88,24407.9,25853.3,41149.5,-15296.19,75193.0,71.51,452423.05833333335,4195.668333333334,1057.8333333333333,1981.1816666666666,5119.015,4039.1666666666665,148.73333333333332,147.20000000000002,146.0,145.0,144.4333333333333,143.4333333333333,1000.3333333333334,987.6666666666666,976.0,966.3333333333334,957.6666666666666,949.3333333333334,1006.0,994.0,982.6666666666666,973.3333333333334,964.6666666666666,956.6666666666666,152.16666666666666,149.5,147.5,145.86666666666667,144.43333333333334,142.76666666666665
2020-02-01,149.1,134.2,122.2,1010.0,1016.0,150.5,2737.1,24241.58,27742.76,37904.47,-10161.71,66257.32,72.19,436260.3083333333,4405.316666666667,1119.7549999999999,1850.3283333333336,5135.888333333333,4182.166666666667,149.73333333333335,148.73333333333332,147.20000000000002,146.0,145.0,144.4333333333333,1010.0,1000.3333333333334,987.6666666666666,976.0,966.3333333333334,957.6666666666666,1015.3333333333334,1006.0,994.0,982.6666666666666,973.3333333333334,964.6666666666666,153.46666666666667,152.16666666666666,149.5,147.5,145.86666666666667,144.43333333333334
2020-03-01,148.6,117.2,120.4,1007.0,1013.0,148.9,3974.17,24244.06,21490.67,31470.92,-9980.25,117951.74,75.39,417057.7833333334,4736.488333333334,1118.7833333333333,-985.9549999999999,2631.7483333333334,4606.833333333333,149.9,149.73333333333335,148.73333333333332,147.20000000000002,146.0,145.0,1013.3333333333334,1010.0,1000.3333333333334,987.6666666666666,976.0,966.3333333333334,1018.6666666666666,1015.3333333333334,1006.0,994.0,982.6666666666666,973.3333333333334,153.0,153.46666666666667,152.16666666666666,149.5,147.5,145.86666666666667
2020-04-01,151.4,54.0,119.2,1014.0,1019.0,154.0,186.42,23112.21,10173.26,17085.78,-6912.51,60055.0,75.12,409544.1666666667,4273.5616666666665,1065.8216666666665,-1744.62,1463.1216666666667,4203.666666666667,149.29999999999998,149.9,149.73333333333335,148.73333333333332,147.20000000000002,146.0,1011.0,1013.3333333333334,1010.0,1000.3333333333334,987.6666666666666,976.0,1016.6666666666666,1018.6666666666666,1015.3333333333334,1006.0,994.0,982.6666666666666,150.96666666666667,153.0,153.46666666666667,152.16666666666666,149.5,147.5
2020-05-01,150.9,90.2,117.5,1019.0,1025.0,152.7,200.05,22875.76,19246.54,22859.87,-3613.32,48450.0,75.64,404111.06666666665,3789.7833333333333,1010.445,-2814.8416666666667,-35.50166666666675,4099.5,149.70000000000002,149.29999999999998,149.9,149.73333333333335,148.73333333333332,147.20000000000002,1010.3333333333334,1011.0,1013.3333333333334,1010.0,1000.3333333333334,987.6666666666666,1016.0,1016.6666666666666,1018.6666666666666,1015.3333333333334,1006.0,994.0,151.13333333333333,150.96666666666667,153.0,153.46666666666667,152.16666666666666,149.5
2020-06-01,151.8,107.9,119.3,1018.0,1024.0,154.0,-914.4,22458.12,22033.15,21323.55,709.6,48471.2,75.53,400207.06666666665,2881.816666666667,975.9483333333333,-2183.8633333333332,-277.9933333333334,3920.3333333333335,150.29999999999998,149.70000000000002,149.29999999999998,149.9,149.73333333333335,148.73333333333332,1013.3333333333334,1010.3333333333334,1011.0,1013.3333333333334,1010.0,1000.3333333333334,1019.0,1016.0,1016.6666666666666,1018.6666666666666,1015.3333333333334,1006.0,151.86666666666667,151.13333333333333,150.96666666666667,153.0,153.46666666666667,152.16666666666666
2020-07-01,153.9,117.9,121.0,1021.0,1028.0,157.0,3583.53,22466.93,23782.41,29116.06,-5333.66,60400.0,74.77,392345.125,2553.8733333333334,926.0649999999999,-2444.883333333333,-817.0716666666667,2878.1666666666665,151.36666666666667,150.29999999999998,149.70000000000002,149.29999999999998,149.9,149.73333333333335,1017.0,1013.3333333333334,1010.3333333333334,1011.0,1013.3333333333334,1010.0,1022.6666666666666,1019.0,1016.0,1016.6666666666666,1018.6666666666666,1015.3333333333334,153.5666666666667,151.86666666666667,151.13333333333333,150.96666666666667,153.0,153.46666666666667
2020-08-01,154.7,117.2,122.0,1026.0,1033.0,158.0,18247.37,22468.26,22829.29,31034.01,-8204.72,56400.0,73.6,387745.2166666666,5000.3550000000005,787.5016666666666,-1362.3,2850.556666666667,2474.1666666666665,152.20000000000002,151.36666666666667,150.29999999999998,149.70000000000002,149.29999999999998,149.9,1019.3333333333334,1017.0,1013.3333333333334,1010.3333333333334,1011.0,1013.3333333333334,1025.6666666666667,1022.6666666666666,1019.0,1016.0,1016.6666666666666,1018.6666666666666,154.5666666666667,153.5666666666667,151.86666666666667,151.13333333333333,150.96666666666667,153.0
2020-09-01,156.4,124.1,122.9,1037.0,1043.0,161.4,2593.58,22291.43,27559.04,30518.35,-2959.31,84525.0,73.8,390709.07499999995,4863.841666666667,881.0883333333333,1273.2183333333332,5255.9766666666665,2105.1666666666665,153.46666666666667,152.20000000000002,151.36666666666667,150.29999999999998,149.70000000000002,149.29999999999998,1021.6666666666666,1019.3333333333334,1017.0,1013.3333333333334,1010.3333333333334,1011.0,1028.3333333333333,1025.6666666666667,1022.6666666666666,1019.0,1016.0,1016.6666666666666,156.33333333333334,154.5666666666667,153.5666666666667,151.86666666666667,151.13333333333333,150.96666666666667
2020-10-01,158.4,129.6,123.6,1052.0,1057.0,164.7,3971.04,21958.27,24920.41,34073.84,-9153.43,74710.0,73.97,384523.26666666666,5456.09,842.5666666666666,1891.3516666666667,6504.88,2278.0,155.0,153.46666666666667,152.20000000000002,151.36666666666667,150.29999999999998,149.70000000000002,1028.0,1021.6666666666666,1019.3333333333334,1017.0,1013.3333333333334,1010.3333333333334,1034.6666666666667,1028.3333333333333,1025.6666666666667,1022.6666666666666,1019.0,1016.0,158.79999999999998,156.33333333333334,154.5666666666667,153.5666666666667,151.86666666666667,151.13333333333333
2020-11-01,158.9,126.7,125.1,1060.0,1065.0,165.4,7169.64,21925.48,23619.95,33812.29,-10192.34,64824.33,73.8,375744.7833333334,6667.59,892.4699999999998,3806.3566666666666,9581.481666666667,2370.3333333333335,156.5,155.0,153.46666666666667,152.20000000000002,151.36666666666667,150.29999999999998,1038.3333333333333,1028.0,1021.6666666666666,1019.3333333333334,1017.0,1013.3333333333334,1044.3333333333333,1034.6666666666667,1028.3333333333333,1025.6666666666667,1022.6666666666666,1019.0,161.36666666666665,158.79999999999998,156.33333333333334,154.5666666666667,153.5666666666667,151.86666666666667
2020-12-01,157.3,137.4,125.4,1047.0,1053.0,161.0,6239.35,22127.57,27216.29,42934.54,-15718.25,65326.47,73.05,371361.9083333334,7845.243333333335,877.8316666666665,4702.4783333333335,11669.894999999999,2699.0,157.9,156.5,155.0,153.46666666666667,152.20000000000002,151.36666666666667,1049.6666666666667,1038.3333333333333,1028.0,1021.6666666666666,1019.3333333333334,1017.0,1055.0,1044.3333333333333,1034.6666666666667,1028.3333333333333,1025.6666666666667,1022.6666666666666,163.83333333333334,161.36666666666665,158.79999999999998,156.33333333333334,154.5666666666667,153.5666666666667
2021-01-01,156.3,136.6,126.5,1038.0,1045.0,157.6,1481.65,21505.96,27538.28,42030.07,-14491.79,56300.0,72.95,377334.35833333334,7452.018333333334,834.92,5660.1483333333335,12277.251666666665,2965.0,158.20000000000002,157.9,156.5,155.0,153.46666666666667,152.20000000000002,1053.0,1049.6666666666667,1038.3333333333333,1028.0,1021.6666666666666,1019.3333333333334,1058.3333333333333,1055.0,1044.3333333333333,1034.6666666666667,1028.3333333333333,1025.6666666666667,163.70000000000002,163.83333333333334,161.36666666666665,158.79999999999998,156.33333333333334,154.5666666666667
2021-02-01,156.6,129.9,128.1,1037.0,1044.0,156.9,441.62,22093.46,27633.25,40748.65,-13115.4,80270.0,73.04,380376.3833333333,4632.536666666668,983.0633333333332,5077.841666666666,8727.32,3102.6666666666665,157.5,158.20000000000002,157.9,156.5,155.0,153.46666666666667,1048.3333333333333,1053.0,1049.6666666666667,1038.3333333333333,1028.0,1021.6666666666666,1054.3333333333333,1058.3333333333333,1055.0,1044.3333333333333,1034.6666666666667,1028.3333333333333,161.33333333333334,163.70000000000002,163.83333333333334,161.36666666666665,158.79999999999998,156.33333333333334
2021-03-01,156.8,145.6,129.9,1035.0,1043.0,156.7,755.27,20473.08,35256.6,48898.86,-13642.26,108412.0,73.5,380720.4166666667,4290.683333333334,947.5933333333332,4749.583333333333,8092.676666666666,3771.0,156.73333333333335,157.5,158.20000000000002,157.9,156.5,155.0,1040.6666666666667,1048.3333333333333,1053.0,1049.6666666666667,1038.3333333333333,1028.0,1047.3333333333333,1054.3333333333333,1058.3333333333333,1055.0,1044.3333333333333,1034.6666666666667,158.5,161.33333333333334,163.70000000000002,163.83333333333334,161.36666666666665,158.79999999999998
2021-04-01,157.8,126.1,132.0,1041.0,1049.0,158.0,2398.37,20027.35,30750.58,46044.08,-15293.5,9150.0,74.02,379842.8416666666,4205.695000000001,1124.715,4157.419999999999,7238.401666666666,3886.0,156.56666666666666,156.73333333333335,157.5,158.20000000000002,157.9,156.5,1036.6666666666667,1040.6666666666667,1048.3333333333333,1053.0,1049.6666666666667,1038.3333333333333,1044.0,1047.3333333333333,1054.3333333333333,1058.3333333333333,1055.0,1044.3333333333333,157.0666666666667,158.5,161.33333333333334,163.70000000000002,163.83333333333334,161.36666666666665
2021-05-01,160.4,115.1,132.9,1049.0,1057.0,160.7,8801.57,19876.3,32298.98,38834.64,-6535.66,50550.0,72.52,382436.3666666667,4593.755000000001,1240.7849999999999,2496.971666666667,5849.943333333334,3668.1666666666665,157.06666666666666,156.56666666666666,156.73333333333335,157.5,158.20000000000002,157.9,1037.6666666666667,1036.6666666666667,1040.6666666666667,1048.3333333333333,1053.0,1049.6666666666667,1045.3333333333333,1044.0,1047.3333333333333,1054.3333333333333,1058.3333333333333,1055.0,157.20000000000002,157.0666666666667,158.5,161.33333333333334,163.70000000000002,163.83333333333334
2021-06-01,161.3,122.8,133.7,1057.0,1065.0,162.6,354.15,19698.7,32493.0,42098.26,-9605.27,84850.0,74.35,384258.5,3831.278333333334,1459.175,1280.3916666666667,3652.4966666666674,3416.6666666666665,158.33333333333334,157.06666666666666,156.56666666666666,156.73333333333335,157.5,158.20000000000002,1041.6666666666667,1037.6666666666667,1036.6666666666667,1040.6666666666667,1048.3333333333333,1053.0,1049.6666666666667,1045.3333333333333,1044.0,1047.3333333333333,1054.3333333333333,1058.3333333333333,158.46666666666667,157.20000000000002,157.0666666666667,158.5,161.33333333333334,163.70000000000002
2021-07-01,162.5,131.5,135.0,1061.0,1070.0,164.0,1552.1,19598.51,35512.82,46146.97,-10634.16,49300.0,74.39,384980.125,3950.9483333333337,1567.0999999999997,-25.653333333333308,2358.1933333333336,3365.0,159.83333333333334,158.33333333333334,157.06666666666666,156.56666666666666,156.73333333333335,157.5,1049.0,1041.6666666666667,1037.6666666666667,1036.6666666666667,1040.6666666666667,1048.3333333333333,1057.0,1049.6666666666667,1045.3333333333333,1044.0,1047.3333333333333,1054.3333333333333,160.4333333333333,158.46666666666667,157.20000000000002,157.0666666666667,158.5,161.33333333333334
2021-08-01,162.9,132.4,136.2,1066.0,1074.0,163.9,5114.58,19331.06,33380.73,45092.86,-11712.13,44300.0,73.15,385088.77499999997,4654.556666666667,1491.8816666666664,149.84166666666667,3312.515,3410.0,161.4,159.83333333333334,158.33333333333334,157.06666666666666,156.56666666666666,156.73333333333335,1055.6666666666667,1049.0,1041.6666666666667,1037.6666666666667,1036.6666666666667,1040.6666666666667,1064.0,1057.0,1049.6666666666667,1045.3333333333333,1044.0,1047.3333333333333,162.4333333333333,160.4333333333333,158.46666666666667,157.20000000000002,157.0666666666667,158.5
2021-09-01,163.2,129.5,137.4,1067.0,1076.0,164.0,2030.58,18950.0,33814.61,56286.42,-22471.81,70821.73,74.26,386190.075,5022.866666666668,1647.638333333333,713.25,4088.475,2541.6666666666665,162.23333333333335,161.4,159.83333333333334,158.33333333333334,157.06666666666666,156.56666666666666,1061.3333333333333,1055.6666666666667,1049.0,1041.6666666666667,1037.6666666666667,1036.6666666666667,1069.6666666666667,1064.0,1057.0,1049.6666666666667,1045.3333333333333,1044.0,163.5,162.4333333333333,160.4333333333333,158.46666666666667,157.20000000000002,157.0666666666667
2021-10-01,165.5,135.0,140.7,1081.0,1090.0,167.7,1015.88,18805.15,35727.73,53638.25,-17910.52,59449.23,74.79,386928.6666666667,4744.400000000001,1599.5866666666668,690.3666666666667,3835.1766666666667,2311.0,162.86666666666665,162.23333333333335,161.4,159.83333333333334,158.33333333333334,157.06666666666666,1064.6666666666667,1061.3333333333333,1055.6666666666667,1049.0,1041.6666666666667,1037.6666666666667,1073.3333333333333,1069.6666666666667,1064.0,1057.0,1049.6666666666667,1045.3333333333333,163.96666666666667,163.5,162.4333333333333,160.4333333333333,158.46666666666667,157.20000000000002
2021-11-01,166.7,128.0,143.7,1092.0,1101.0,169.7,2192.25,18672.91,31795.05,53025.07,-21230.02,37825.0,75.09,386871.3,3573.9716666666677,1530.7133333333331,503.8783333333333,2547.1349999999998,2587.8333333333335,163.86666666666667,162.86666666666665,162.23333333333335,161.4,159.83333333333334,158.33333333333334,1071.3333333333333,1064.6666666666667,1061.3333333333333,1055.6666666666667,1049.0,1041.6666666666667,1080.0,1073.3333333333333,1069.6666666666667,1064.0,1057.0,1049.6666666666667,165.20000000000002,163.96666666666667,163.5,162.4333333333333,160.4333333333333,158.46666666666667
